x,y
6.046935704077782248e+00,-1.291982091865392368e+00
3.920047099867971507e+00,-1.830048647087932245e+00
4.590524398549243656e+00,-2.448537366334941900e+00
3.319369201577508477e+00,-1.417170643507578154e+00
3.090107990396599114e+00,-1.599229971133783401e+00
4.420597992420788103e+00,-2.695755759206379665e+00
4.262145108562439333e+00,-2.143175731932084993e+00
4.092218702437310007e+00,-2.390394124803077336e+00
3.362406598704340333e+00,-1.706746340308124443e+00
5.320336502281602264e+00,-3.132185150830546050e+00
4.819785609732046616e+00,-2.266478038667255834e+00
3.434316913516949121e+00,-2.704157442407324030e+00
3.592769797386255792e+00,-3.256737469694462650e+00
4.920046897471878289e+00,-1.829412414311720303e+00
4.089973505983399704e+00,-1.582830254189039332e+00
5.819785407330594573e+00,-2.265841805940212783e+00
2.862957693648476631e+00,-2.573089685203134191e+00
5.147197194215941352e+00,-8.555527002433401806e-01
2.362406801100435327e+00,-1.707382573086478894e+00
3.819920094133218313e+00,-2.282877755624840077e+00
5.161883618435425980e+00,-2.579605123552314527e+00
5.547486799024217596e+00,-2.158325436758625315e+00
4.147197396616312481e+00,-8.561889330224718986e-01
5.219107509042304471e+00,-1.852963802356793810e+00
4.647748289166615976e+00,-1.721896045136065201e+00
4.719658603990281698e+00,-2.719307147250916046e+00
4.334055423372343618e+00,-3.140586834042664144e+00
3.690785888687408089e+00,-2.012107974711864866e+00
3.262145310964621014e+00,-2.143811964703696837e+00
3.092218904832383153e+00,-2.391030357581647614e+00
4.219107711438416786e+00,-1.853600035137434876e+00
3.991957414696839734e+00,-2.827459749205415651e+00
3.762696203512875925e+00,-3.009519076826190798e+00
4.991957212292773782e+00,-2.826823516426770766e+00
4.190234793738573771e+00,-1.145764629817248581e+00
5.089973303597257193e+00,-1.582194021438509512e+00
5.046935906473137834e+00,-1.292618324646302996e+00
4.492508307251877220e+00,-3.693166861322534800e+00
3.190234996130690615e+00,-1.146400862597582115e+00
4.319368999182224833e+00,-1.416534410731111082e+00
